name,time,eth_dst,eth_src,ip_dst,ip_proto,ip_src,payload,proto,switch
blocked,1653210846094116096,33:33:00:00:00:02,00:00:00:00:00:02,ff02::2,ipv6,fe80::200:ff:fe00:2,16,icmpv6,0000000000000002
blocked,1653210848141691904,33:33:00:00:00:02,00:00:00:00:00:01,ff02::2,ipv6,fe80::200:ff:fe00:1,16,icmpv6,0000000000000001
blocked,1653210848143392000,33:33:00:00:00:02,00:00:00:00:00:01,ff02::2,ipv6,fe80::200:ff:fe00:1,16,icmpv6,0000000000000002
blocked,1653210863562535168,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,182.22.22.162,160,tcp,0000000000000001
blocked,1653210863563304960,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,237.40.120.88,160,tcp,0000000000000001
blocked,1653210863563762944,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,227.155.110.18,160,tcp,0000000000000001
blocked,1653210863564139008,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,30.208.227.30,160,tcp,0000000000000001
blocked,1653210863564566016,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,207.93.216.228,160,tcp,0000000000000001
blocked,1653210863564979968,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,30.234.228.76,160,tcp,0000000000000001
blocked,1653210863565364992,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,251.23.88.139,160,tcp,0000000000000001
blocked,1653210863565766144,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,157.180.233.77,160,tcp,0000000000000001
blocked,1653210863566153984,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,169.134.88.80,160,tcp,0000000000000001
blocked,1653210863566611968,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,19.22.132.33,160,tcp,0000000000000001
blocked,1653210863566989056,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,205.88.26.21,160,tcp,0000000000000001
blocked,1653210863567356160,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,233.138.38.202,160,tcp,0000000000000001
blocked,1653210863567728896,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,227.241.163.109,160,tcp,0000000000000001
blocked,1653210863568110848,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,109.47.101.152,160,tcp,0000000000000001
blocked,1653210863568487936,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,228.212.202.0,160,tcp,0000000000000001
blocked,1653210863568861952,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,30.119.254.170,160,tcp,0000000000000001
blocked,1653210863569233920,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,77.21.33.197,160,tcp,0000000000000001
blocked,1653210863569614848,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,134.118.75.248,160,tcp,0000000000000001
blocked,1653210863569987072,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,232.71.81.54,160,tcp,0000000000000001
blocked,1653210863570360832,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,241.23.107.80,160,tcp,0000000000000001
blocked,1653210863570727168,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,233.207.130.185,160,tcp,0000000000000001
blocked,1653210863571098112,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,26.182.76.176,160,tcp,0000000000000001
blocked,1653210863571468032,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,156.36.30.192,160,tcp,0000000000000001
blocked,1653210863571863808,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,228.72.184.251,160,tcp,0000000000000001
